Uuid,Void/Retire,Frequency per day,Concept frequency,_version:1,_order:7000
162135OFAAAAAAAAAAAAAAA,0,1,162135AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
162243OFAAAAAAAAAAAAAAA,0,48,162243AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
162244OFAAAAAAAAAAAAAAA,0,24,162244AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
162245OFAAAAAAAAAAAAAAA,0,12,162245AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
162246OFAAAAAAAAAAAAAAA,0,8,162246AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
162247OFAAAAAAAAAAAAAAA,0,6,162247AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
162248OFAAAAAAAAAAAAAAA,0,4.8,162248AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
162249OFAAAAAAAAAAAAAAA,0,4,162249AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
162250OFAAAAAAAAAAAAAAA,0,3,162250AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
162251OFAAAAAAAAAAAAAAA,0,2,162251AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
160858OFAAAAAAAAAAAAAAA,0,2,160858AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
160859OFAAAAAAAAAAAAAAA,0,2,160859AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
160860OFAAAAAAAAAAAAAAA,0,2,160860AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
160861OFAAAAAAAAAAAAAAA,0,2,160861AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
162252OFAAAAAAAAAAAAAAA,0,1,162252AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
160862OFAAAAAAAAAAAAAAA,0,1,160862AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
160863OFAAAAAAAAAAAAAAA,0,1,160863AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
160864OFAAAAAAAAAAAAAAA,0,1,160864AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
160865OFAAAAAAAAAAAAAAA,0,1,160865AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
160866OFAAAAAAAAAAAAAAA,0,3,160866AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
160867OFAAAAAAAAAAAAAAA,0,3,160867AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
160868OFAAAAAAAAAAAAAAA,0,3,160868AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
160869OFAAAAAAAAAAAAAAA,0,3,160869AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
160870OFAAAAAAAAAAAAAAA,0,4,160870AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
160871OFAAAAAAAAAAAAAAA,0,4,160871AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
160872OFAAAAAAAAAAAAAAA,0,4,160872AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
162253OFAAAAAAAAAAAAAAA,0,0.5,162253AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
162254OFAAAAAAAAAAAAAAA,0,0,162254AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
162255OFAAAAAAAAAAAAAAA,0,0,162255AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
162256OFAAAAAAAAAAAAAAA,0,0,162256AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
1e9b9c1e-1b1b-484c-9158-0c801d26283e,0,1,1098AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
0d4351ce-15c9-11f0-9e19-da924fd23489,0,1,1099AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
94bcbd80-2d72-4dac-b90b-03e73e419ebe,0,1,9ac8c51f-059c-4511-a496-a4409392271c,,
2eb1c31e-76c9-482f-8394-48606fe2fc76,0,1,0c8a5a40-5241-4332-976a-b5a3dcbcc1af,,
ee5c68dd-1cde-46eb-84e6-4e8f14b1c5cc,0,1,03896c54-468e-498c-881b-3714ca0776d0,,
